student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade,avg_marks,performance_level
3629,19,other,public,phd,3.8,89.7,yes,<15 min,yes,mixed,38.9,69.1,65.0,61.8,D,57.666666666666664,Average
3630,18,male,private,graduate,1.1,80.2,yes,>60 min,no,mixed,19.6,30.0,5.7,33.4,F,18.433333333333334,Poor
3631,16,male,private,diploma,6.8,69.9,yes,<15 min,no,mixed,96.2,81.6,100.0,89.6,B,92.60000000000001,Excellent
3632,17,other,private,phd,1.4,66.4,yes,15-30 min,yes,textbook,31.6,25.9,24.0,31.1,F,27.166666666666668,Poor
3633,14,female,public,post graduate,5.3,92.7,yes,30-60 min,yes,group study,80.3,69.2,97.2,80.4,C,82.23333333333333,Excellent
3634,18,other,private,post graduate,3.6,89.3,yes,>60 min,yes,notes,63.9,68.9,46.4,65.5,D,59.73333333333334,Average
3635,19,other,public,graduate,7.3,90.7,yes,>60 min,no,coaching,64.0,73.9,100.0,85.0,C,79.3,Good
3636,16,female,public,no formal,5.8,69.8,yes,<15 min,yes,coaching,72.1,90.5,80.2,81.8,C,80.93333333333334,Excellent
3637,17,other,private,phd,0.5,74.0,yes,>60 min,yes,mixed,24.9,29.3,20.5,25.3,F,24.900000000000002,Poor
3638,16,other,private,post graduate,3.3,78.7,yes,15-30 min,no,online videos,68.0,59.7,51.7,54.9,E,59.800000000000004,Average
3639,14,male,public,no formal,1.9,59.6,no,15-30 min,yes,textbook,36.2,31.7,47.7,33.9,F,38.53333333333334,Poor
3640,17,male,private,high school,2.6,68.1,yes,30-60 min,no,online videos,38.6,19.4,23.8,40.3,E,27.266666666666666,Poor
3641,18,male,private,diploma,3.5,74.6,no,>60 min,no,mixed,56.4,53.9,64.0,57.2,D,58.1,Average
3642,19,other,public,high school,4.6,83.5,yes,30-60 min,no,notes,69.4,77.5,86.4,76.6,C,77.76666666666667,Good
3643,19,male,private,graduate,6.5,72.5,yes,15-30 min,no,textbook,100.0,85.6,89.4,90.0,B,91.66666666666667,Excellent
3644,16,male,private,graduate,1.1,57.7,yes,<15 min,yes,coaching,19.6,30.4,18.3,22.1,F,22.766666666666666,Poor
3645,19,female,private,high school,3.8,71.3,no,>60 min,no,notes,85.1,65.4,67.8,68.6,D,72.76666666666667,Good
3646,17,male,private,post graduate,6.9,76.6,no,15-30 min,yes,textbook,86.3,95.3,85.2,89.5,B,88.93333333333334,Excellent
3647,17,male,public,high school,3.7,82.5,yes,>60 min,yes,mixed,59.8,53.3,49.7,60.6,D,54.26666666666667,Average
3648,17,other,private,no formal,4.4,92.7,yes,15-30 min,yes,mixed,71.3,81.8,78.1,72.4,C,77.06666666666666,Good
3649,19,other,private,phd,6.3,61.6,yes,<15 min,yes,notes,76.4,86.1,80.9,73.8,C,81.13333333333334,Excellent
3650,18,female,public,high school,5.8,78.0,no,>60 min,yes,notes,58.5,66.0,70.5,72.6,C,65.0,Good
3651,14,other,public,high school,4.3,70.9,no,<15 min,yes,online videos,71.3,80.7,68.0,71.0,C,73.33333333333333,Good
3652,14,female,private,post graduate,7.8,84.3,yes,>60 min,yes,mixed,81.4,90.3,92.3,87.7,B,88.0,Excellent
3653,16,female,private,post graduate,0.8,93.7,yes,<15 min,no,online videos,42.6,33.8,44.5,43.4,E,40.300000000000004,Average
3654,17,female,private,no formal,0.9,73.9,yes,15-30 min,no,online videos,40.1,45.6,34.8,44.0,E,40.166666666666664,Average
3655,18,other,private,no formal,3.7,92.2,yes,<15 min,no,coaching,47.5,69.2,44.2,64.6,D,53.63333333333333,Average
3656,16,male,public,phd,1.7,50.1,yes,>60 min,no,notes,25.4,12.0,27.1,29.1,F,21.5,Poor
3657,17,female,public,graduate,2.1,95.6,yes,<15 min,yes,mixed,62.2,46.2,47.9,53.1,E,52.1,Average
3658,19,male,private,diploma,1.6,89.4,yes,30-60 min,yes,coaching,55.6,60.1,45.0,57.4,D,53.56666666666666,Average
3659,16,other,private,diploma,5.7,56.7,yes,>60 min,no,mixed,65.0,57.9,81.2,70.6,C,68.03333333333335,Good
3660,16,female,private,graduate,3.7,83.8,no,15-30 min,yes,online videos,35.0,40.2,42.3,56.1,D,39.166666666666664,Poor
3661,17,male,public,post graduate,6.8,75.7,yes,<15 min,no,coaching,85.8,100.0,82.0,89.9,B,89.26666666666667,Excellent
3662,16,female,public,no formal,2.4,98.5,yes,>60 min,yes,notes,52.0,69.0,58.1,49.0,E,59.699999999999996,Average
3663,19,female,public,high school,5.2,65.2,yes,30-60 min,no,group study,74.0,68.1,70.2,61.5,D,70.76666666666667,Good
3664,19,male,private,phd,2.1,80.5,yes,>60 min,no,notes,20.0,49.8,32.5,51.2,E,34.1,Poor
3665,17,other,private,high school,0.6,76.1,no,15-30 min,yes,textbook,39.9,21.9,25.8,26.9,F,29.2,Poor
3666,16,female,public,phd,5.7,61.1,yes,15-30 min,no,mixed,66.7,69.9,53.5,60.7,D,63.366666666666674,Good
3667,17,male,public,diploma,1.6,90.7,no,15-30 min,no,coaching,50.0,46.8,70.1,51.6,E,55.633333333333326,Average
3668,15,female,private,high school,5.7,87.2,yes,<15 min,yes,textbook,82.5,100.0,100.0,90.2,B,94.16666666666667,Excellent
3669,16,female,private,graduate,5.7,77.2,yes,30-60 min,no,coaching,78.1,73.0,62.0,68.9,D,71.03333333333333,Good
3670,15,female,private,graduate,5.5,97.2,yes,>60 min,no,mixed,94.2,100.0,86.6,92.9,B,93.59999999999998,Excellent
3671,14,male,private,diploma,4.9,96.3,yes,30-60 min,no,coaching,62.7,84.1,78.4,77.8,C,75.06666666666668,Good
3672,14,other,public,post graduate,7.1,90.9,yes,30-60 min,yes,coaching,100.0,92.8,100.0,99.5,A,97.60000000000001,Excellent
3673,17,female,private,no formal,1.1,57.6,yes,30-60 min,no,group study,37.5,46.2,40.2,34.0,F,41.300000000000004,Average
3674,14,female,private,no formal,7.5,94.7,yes,<15 min,no,textbook,100.0,100.0,84.6,95.6,A,94.86666666666667,Excellent
3675,17,other,public,graduate,1.0,65.3,yes,>60 min,yes,coaching,30.6,14.2,37.5,26.7,F,27.433333333333334,Poor
3676,16,female,public,graduate,4.2,78.5,yes,<15 min,no,notes,84.7,56.9,64.4,67.7,D,68.66666666666667,Good
3677,16,male,private,post graduate,7.4,98.7,yes,15-30 min,yes,coaching,100.0,78.3,87.6,100.0,A,88.63333333333333,Excellent
3678,18,female,public,phd,2.5,61.5,yes,30-60 min,no,online videos,36.4,39.8,56.3,40.6,E,44.166666666666664,Average
3679,17,female,public,phd,6.8,60.0,yes,<15 min,no,mixed,91.5,75.8,90.3,77.3,C,85.86666666666667,Excellent
3680,18,male,private,graduate,4.9,92.6,yes,30-60 min,yes,group study,66.6,85.3,64.4,75.7,C,72.1,Good
3681,18,male,public,graduate,7.0,50.7,yes,<15 min,yes,online videos,52.7,85.9,75.5,68.5,D,71.36666666666667,Good
3682,14,male,public,phd,0.9,58.7,yes,<15 min,yes,notes,16.5,26.8,34.1,21.1,F,25.8,Poor
3683,15,other,public,phd,4.7,66.4,yes,>60 min,yes,notes,87.5,54.5,82.5,72.3,C,74.83333333333333,Good
3684,17,male,public,no formal,1.9,86.9,yes,30-60 min,yes,online videos,58.3,60.5,48.2,54.2,E,55.666666666666664,Average
3685,19,female,private,graduate,0.6,74.0,no,>60 min,yes,mixed,46.1,39.3,33.8,44.1,E,39.733333333333334,Poor
3686,14,other,public,phd,5.7,69.7,yes,<15 min,no,group study,90.7,83.7,77.0,81.8,C,83.8,Excellent
3687,14,female,public,no formal,6.1,95.9,yes,>60 min,yes,mixed,85.4,100.0,89.4,95.5,A,91.60000000000001,Excellent
3688,19,male,private,phd,6.0,87.8,yes,15-30 min,yes,mixed,73.0,69.0,49.0,76.6,C,63.666666666666664,Good
3689,19,other,private,post graduate,6.0,81.6,yes,>60 min,yes,coaching,83.5,67.6,85.3,81.4,C,78.8,Good
3690,15,female,private,no formal,6.5,67.0,yes,15-30 min,no,notes,79.1,76.6,64.0,76.8,C,73.23333333333333,Good
3691,16,male,public,graduate,4.0,92.9,yes,>60 min,yes,coaching,72.0,56.9,68.1,71.9,C,65.66666666666667,Good
3692,17,female,public,diploma,3.1,62.7,yes,>60 min,yes,notes,39.4,55.4,64.4,56.1,D,53.06666666666666,Average
3693,15,male,private,diploma,6.3,97.3,yes,30-60 min,no,group study,91.7,99.9,100.0,99.1,A,97.2,Excellent
3694,15,female,public,graduate,5.5,63.0,yes,15-30 min,yes,textbook,58.2,43.5,67.9,60.7,D,56.53333333333334,Average
3695,16,male,public,post graduate,2.0,91.0,yes,>60 min,yes,mixed,45.3,50.4,66.2,56.9,D,53.96666666666666,Average
3696,17,other,public,phd,3.8,95.7,yes,15-30 min,no,notes,62.8,84.2,83.0,74.1,C,76.66666666666667,Good
3697,15,other,private,diploma,1.9,61.3,yes,<15 min,no,mixed,49.6,60.0,56.2,45.6,E,55.26666666666667,Average
3698,16,other,public,no formal,6.3,61.5,yes,>60 min,yes,textbook,54.5,83.0,67.9,70.2,C,68.46666666666667,Good
3699,15,other,public,phd,2.4,53.9,yes,<15 min,yes,coaching,20.2,45.1,31.3,33.6,F,32.199999999999996,Poor
3700,18,male,public,diploma,5.2,67.1,yes,<15 min,yes,coaching,59.2,68.6,48.9,66.0,D,58.9,Average
3701,14,male,public,post graduate,6.0,75.0,yes,<15 min,no,textbook,91.2,60.4,74.0,76.3,C,75.2,Good
3702,15,other,private,post graduate,7.9,54.3,no,30-60 min,yes,notes,100.0,98.9,74.7,90.9,B,91.2,Excellent
3703,15,female,private,no formal,3.7,57.3,yes,<15 min,no,coaching,45.5,60.5,52.6,62.4,D,52.86666666666667,Average
3704,19,female,private,diploma,7.0,71.1,yes,<15 min,no,notes,86.9,68.5,100.0,91.8,B,85.13333333333334,Excellent
3705,19,other,public,no formal,5.5,59.0,yes,>60 min,yes,notes,71.2,66.1,52.1,62.6,D,63.13333333333333,Good
3706,17,female,public,graduate,0.6,88.7,yes,<15 min,no,mixed,54.3,37.7,42.4,38.9,F,44.800000000000004,Average
3707,14,other,public,post graduate,3.4,66.1,yes,30-60 min,no,mixed,51.4,61.0,42.1,60.1,D,51.5,Average
3708,18,other,private,graduate,3.5,52.3,yes,15-30 min,yes,mixed,51.2,39.3,62.1,47.3,E,50.86666666666667,Average
3709,16,male,private,high school,1.4,57.7,yes,15-30 min,yes,mixed,17.7,18.4,41.2,26.7,F,25.766666666666666,Poor
3710,19,other,private,phd,3.8,65.4,yes,>60 min,yes,group study,65.9,58.0,40.4,56.2,D,54.76666666666667,Average
3711,16,male,private,no formal,1.4,57.3,yes,15-30 min,yes,mixed,34.6,36.1,50.0,38.7,F,40.233333333333334,Average
3712,19,male,public,no formal,6.8,60.8,yes,<15 min,yes,online videos,82.5,81.9,77.3,84.5,C,80.56666666666666,Excellent
3713,18,other,public,diploma,3.2,60.3,yes,15-30 min,no,notes,40.5,45.2,43.8,55.0,E,43.166666666666664,Average
3714,15,other,public,phd,1.9,70.9,yes,15-30 min,no,notes,46.2,25.7,33.8,37.8,F,35.233333333333334,Poor
3715,18,male,private,phd,5.0,76.2,yes,>60 min,no,coaching,75.1,64.1,70.0,71.2,C,69.73333333333333,Good
3716,15,female,private,graduate,6.9,81.1,yes,30-60 min,yes,mixed,82.9,88.3,94.3,80.5,C,88.5,Excellent
3717,16,female,private,phd,7.5,95.5,yes,<15 min,yes,online videos,85.8,97.0,87.4,90.2,B,90.06666666666668,Excellent
3718,15,female,public,phd,7.2,84.4,yes,>60 min,no,group study,93.3,81.0,100.0,98.4,A,91.43333333333334,Excellent
3719,18,other,private,graduate,7.1,59.9,yes,>60 min,no,group study,81.7,76.1,78.3,76.1,C,78.7,Good
3720,15,male,private,no formal,3.1,72.5,yes,15-30 min,yes,coaching,52.0,52.1,51.4,58.2,D,51.833333333333336,Average
3721,17,other,public,phd,4.3,86.5,yes,15-30 min,yes,coaching,82.3,94.1,63.5,74.0,C,79.96666666666665,Good
3722,17,male,private,graduate,3.3,77.8,yes,15-30 min,yes,group study,63.9,44.3,61.0,51.8,E,56.4,Average
3723,18,male,private,no formal,7.4,58.5,yes,30-60 min,no,notes,69.1,64.2,97.3,73.4,C,76.86666666666667,Good
3724,19,female,private,phd,1.2,89.4,no,15-30 min,no,notes,42.3,33.6,38.7,42.1,E,38.2,Poor
3725,14,male,private,diploma,4.7,59.8,yes,15-30 min,no,online videos,43.0,74.5,51.9,61.6,D,56.46666666666667,Average
3726,19,female,public,post graduate,2.4,67.2,yes,15-30 min,no,group study,41.2,25.5,42.0,43.3,E,36.233333333333334,Poor
3727,14,female,private,high school,6.9,86.7,yes,>60 min,yes,online videos,84.3,75.0,96.8,86.0,B,85.36666666666667,Excellent
3728,17,female,public,no formal,3.0,98.5,yes,<15 min,yes,textbook,56.9,54.6,49.3,53.9,E,53.6,Average
3729,16,male,public,diploma,7.0,94.5,yes,<15 min,no,notes,100.0,100.0,85.6,95.3,A,95.2,Excellent
3730,17,other,private,diploma,7.5,98.5,yes,<15 min,yes,mixed,100.0,100.0,95.5,98.9,A,98.5,Excellent
3731,18,male,private,phd,1.8,69.8,yes,<15 min,no,coaching,61.3,27.0,48.8,50.3,E,45.699999999999996,Average
3732,19,male,public,no formal,6.2,71.8,yes,30-60 min,no,notes,71.3,63.5,69.8,71.0,C,68.2,Good
3733,16,female,public,phd,3.1,58.1,yes,15-30 min,no,online videos,37.8,52.8,58.9,48.1,E,49.833333333333336,Average
3734,19,other,public,no formal,3.5,73.6,yes,15-30 min,yes,notes,70.0,49.7,65.7,58.0,D,61.800000000000004,Good
3735,15,female,public,phd,2.6,89.0,yes,>60 min,yes,coaching,45.1,44.5,57.8,56.5,D,49.133333333333326,Average
3736,15,other,private,post graduate,5.1,53.4,yes,>60 min,yes,textbook,44.5,60.6,35.6,53.6,E,46.9,Average
3737,16,other,public,diploma,3.1,66.0,yes,>60 min,yes,group study,43.7,56.3,21.7,44.6,E,40.56666666666667,Average
3738,17,other,public,phd,6.1,96.3,yes,30-60 min,no,notes,66.6,72.7,76.7,78.1,C,72.0,Good
3739,18,male,private,diploma,6.3,59.1,yes,>60 min,no,group study,65.0,65.2,67.5,68.2,D,65.89999999999999,Good
3740,18,other,private,graduate,3.5,64.9,yes,<15 min,yes,online videos,37.8,44.2,61.2,53.5,E,47.73333333333333,Average
3741,15,male,private,no formal,0.5,96.8,yes,15-30 min,yes,group study,42.3,55.4,65.5,47.8,E,54.4,Average
3742,15,other,private,no formal,1.0,67.2,yes,30-60 min,no,online videos,17.0,50.1,29.1,31.9,F,32.06666666666666,Poor
3743,19,other,private,diploma,2.6,91.5,yes,>60 min,no,notes,59.3,55.0,48.0,54.1,E,54.1,Average
3744,16,male,private,high school,7.7,64.4,yes,30-60 min,yes,online videos,87.9,85.0,72.3,86.4,B,81.73333333333333,Excellent
3745,15,male,public,high school,3.5,62.9,yes,30-60 min,yes,group study,43.5,54.2,66.9,55.2,D,54.866666666666674,Average
3746,19,other,public,diploma,6.1,59.4,no,<15 min,no,coaching,62.8,77.2,71.0,76.0,C,70.33333333333333,Good
3747,16,male,public,graduate,7.5,53.1,yes,>60 min,no,coaching,72.9,53.5,76.7,78.6,C,67.7,Good
3748,19,other,private,no formal,3.1,70.8,yes,>60 min,yes,group study,44.7,31.1,55.2,48.0,E,43.666666666666664,Average
3749,19,female,public,post graduate,4.7,85.7,yes,15-30 min,no,notes,79.9,86.0,59.7,72.3,C,75.2,Good
3750,19,female,private,phd,6.9,75.3,yes,>60 min,no,group study,74.0,100.0,78.4,88.2,B,84.13333333333334,Excellent
3751,17,other,private,phd,5.1,70.4,yes,<15 min,yes,notes,74.0,60.5,59.2,64.5,D,64.56666666666666,Good
3752,18,male,public,high school,1.3,60.2,yes,>60 min,no,online videos,20.8,17.5,13.8,25.6,F,17.366666666666664,Poor
3753,19,female,private,phd,6.3,84.2,yes,30-60 min,yes,mixed,85.7,100.0,75.7,90.9,B,87.13333333333333,Excellent
3754,15,other,private,no formal,7.3,62.6,yes,30-60 min,yes,online videos,78.6,100.0,93.0,91.4,B,90.53333333333335,Excellent
3755,14,male,public,no formal,6.3,51.6,yes,30-60 min,yes,mixed,71.7,84.3,79.1,75.1,C,78.36666666666666,Good
3756,15,male,public,post graduate,6.1,98.2,yes,>60 min,no,coaching,81.2,81.4,99.4,93.8,B,87.33333333333333,Excellent
3757,17,male,private,post graduate,6.2,97.1,yes,15-30 min,yes,mixed,98.8,82.6,100.0,98.4,A,93.8,Excellent
3758,17,female,public,no formal,5.1,60.7,yes,<15 min,yes,notes,69.9,44.2,70.4,59.0,D,61.5,Good
3759,14,male,public,diploma,2.4,61.9,yes,30-60 min,no,coaching,59.1,32.9,36.1,38.0,F,42.699999999999996,Average
3760,17,male,private,diploma,7.3,79.0,yes,>60 min,no,notes,91.9,87.4,95.4,92.7,B,91.56666666666668,Excellent
3761,15,other,public,post graduate,1.5,71.4,yes,>60 min,no,textbook,52.6,53.9,58.0,50.3,E,54.833333333333336,Average
3762,17,female,public,graduate,6.7,94.4,yes,>60 min,no,notes,95.1,100.0,94.6,92.9,B,96.56666666666666,Excellent
3763,17,female,private,graduate,3.2,71.3,yes,<15 min,yes,mixed,80.3,50.6,72.8,62.9,D,67.89999999999999,Good
3764,17,female,public,no formal,5.6,56.8,yes,<15 min,yes,textbook,76.7,84.8,68.0,76.6,C,76.5,Good
3765,16,other,private,phd,6.5,77.3,yes,<15 min,yes,textbook,81.0,100.0,91.4,89.8,B,90.8,Excellent
3766,16,female,private,graduate,6.5,55.7,yes,30-60 min,yes,notes,73.4,100.0,94.3,75.6,C,89.23333333333333,Excellent
3767,18,female,public,post graduate,1.7,72.4,yes,15-30 min,yes,group study,33.9,48.4,38.3,46.7,E,40.199999999999996,Average
3768,18,other,public,diploma,5.1,78.9,yes,<15 min,no,notes,92.7,75.8,66.8,75.8,C,78.43333333333334,Good
3769,18,male,public,high school,2.1,97.3,yes,15-30 min,no,mixed,60.2,53.2,53.5,55.6,D,55.63333333333333,Average
3770,16,female,private,post graduate,1.3,64.7,yes,30-60 min,yes,coaching,39.2,30.7,35.5,29.1,F,35.13333333333333,Poor
3771,16,other,private,high school,4.4,82.5,yes,<15 min,yes,textbook,52.2,81.5,37.5,59.5,D,57.06666666666666,Average
3772,15,female,public,high school,7.9,50.0,yes,>60 min,yes,mixed,78.3,81.6,58.7,73.5,C,72.86666666666666,Good
3773,17,other,private,graduate,7.9,93.6,yes,15-30 min,no,mixed,98.7,100.0,100.0,100.0,A,99.56666666666666,Excellent
3774,14,other,private,diploma,4.8,65.9,yes,<15 min,yes,notes,44.3,45.8,78.8,62.6,D,56.29999999999999,Average
3775,16,female,public,phd,6.3,62.0,yes,15-30 min,yes,mixed,55.3,71.2,74.4,67.2,D,66.96666666666667,Good
3776,15,other,private,graduate,2.4,55.1,yes,15-30 min,yes,group study,49.2,35.6,55.0,46.1,E,46.6,Average
3777,17,male,private,diploma,2.2,89.3,yes,>60 min,no,notes,79.7,69.3,54.0,55.8,D,67.66666666666667,Good
3778,19,male,public,no formal,5.8,52.8,no,<15 min,no,textbook,75.8,64.0,65.5,66.8,D,68.43333333333334,Good
3779,19,other,public,diploma,6.4,80.9,yes,15-30 min,no,textbook,99.0,74.2,90.2,92.6,B,87.8,Excellent
3780,16,male,private,no formal,6.1,65.8,yes,30-60 min,yes,mixed,88.6,59.8,64.5,73.5,C,70.96666666666665,Good
3781,14,female,private,high school,1.3,85.6,yes,>60 min,no,textbook,38.7,37.8,33.2,44.8,E,36.56666666666667,Poor
3782,15,female,public,high school,3.2,98.3,yes,<15 min,no,textbook,78.4,71.7,75.7,72.5,C,75.26666666666667,Good
3783,14,female,private,graduate,0.8,63.7,yes,<15 min,no,notes,28.8,37.4,29.4,40.3,E,31.866666666666664,Poor
3784,18,other,public,no formal,6.4,81.0,no,>60 min,yes,online videos,85.3,80.8,80.2,85.3,B,82.10000000000001,Excellent
3785,19,male,public,no formal,2.8,68.5,no,>60 min,yes,group study,43.2,67.1,51.1,50.1,E,53.800000000000004,Average
3786,17,female,public,no formal,3.7,75.5,yes,15-30 min,no,mixed,62.2,47.9,39.9,53.3,E,50.0,Average
3787,15,male,private,phd,4.8,54.2,yes,15-30 min,no,online videos,30.1,43.7,65.4,50.6,E,46.400000000000006,Average
3788,14,male,public,phd,0.5,60.2,yes,<15 min,yes,coaching,24.9,35.0,28.0,34.8,F,29.3,Poor
3789,19,male,private,high school,3.2,89.7,yes,>60 min,yes,notes,73.0,54.0,59.0,58.3,D,62.0,Good
3790,15,other,public,diploma,6.0,67.2,yes,>60 min,no,coaching,92.8,84.8,87.7,83.0,C,88.43333333333334,Excellent
3791,14,male,public,high school,2.6,50.1,yes,30-60 min,no,textbook,42.0,31.0,53.9,41.0,E,42.300000000000004,Average
3792,15,other,private,graduate,4.8,66.0,yes,30-60 min,yes,group study,65.4,61.6,72.2,60.2,D,66.39999999999999,Good
3793,15,female,public,graduate,7.8,83.5,no,30-60 min,no,coaching,90.6,68.8,97.9,87.5,B,85.76666666666665,Excellent
3794,17,female,private,high school,1.4,98.6,no,15-30 min,no,textbook,73.2,40.4,40.7,49.8,E,51.43333333333334,Average
3795,19,other,private,graduate,2.5,92.7,yes,15-30 min,no,textbook,69.4,62.2,60.4,66.8,D,64.00000000000001,Good
3796,15,other,private,no formal,5.6,87.8,yes,>60 min,no,group study,88.9,79.3,72.6,84.5,C,80.26666666666667,Excellent
3797,18,male,public,graduate,5.0,96.5,no,15-30 min,no,online videos,73.3,78.3,84.0,78.3,C,78.53333333333333,Good
3798,14,other,private,post graduate,7.8,83.0,no,>60 min,yes,online videos,88.1,77.1,80.6,87.2,B,81.93333333333332,Excellent
3799,14,other,private,no formal,0.8,76.0,yes,15-30 min,no,group study,22.4,35.9,22.4,36.3,F,26.899999999999995,Poor
3800,14,other,public,post graduate,7.1,77.0,yes,>60 min,yes,mixed,83.5,84.6,64.4,81.1,C,77.5,Good
3801,19,male,public,post graduate,4.2,97.2,yes,15-30 min,yes,textbook,77.0,69.2,85.2,72.3,C,77.13333333333333,Good
3802,17,female,public,phd,2.2,50.1,yes,15-30 min,yes,coaching,33.8,31.8,5.6,30.9,F,23.73333333333333,Poor
3803,18,female,private,post graduate,4.3,75.8,yes,<15 min,yes,mixed,67.9,50.9,77.6,55.3,D,65.46666666666667,Good
3804,14,female,public,no formal,3.6,88.5,no,15-30 min,no,textbook,87.0,71.7,83.1,73.2,C,80.6,Excellent
3805,14,female,public,no formal,1.8,51.9,yes,30-60 min,yes,group study,54.4,35.9,31.2,39.8,F,40.5,Average
3806,19,female,private,no formal,2.1,91.2,no,30-60 min,no,coaching,49.9,88.1,58.3,61.3,D,65.43333333333334,Good
3807,14,female,private,graduate,2.7,92.2,yes,30-60 min,no,textbook,62.2,53.4,54.5,53.6,E,56.699999999999996,Average
3808,14,female,private,post graduate,4.6,76.2,yes,30-60 min,no,notes,73.6,56.8,67.8,67.7,D,66.06666666666666,Good
3809,17,other,private,graduate,1.1,91.4,yes,15-30 min,no,online videos,53.4,40.8,40.2,43.8,E,44.79999999999999,Average
3810,17,other,public,high school,1.2,57.1,yes,15-30 min,no,coaching,26.5,15.3,26.5,28.4,F,22.766666666666666,Poor
3811,15,male,public,high school,3.0,97.2,no,<15 min,no,textbook,64.3,40.3,76.6,63.3,D,60.4,Good
3812,16,female,public,no formal,5.8,52.4,yes,<15 min,no,coaching,69.6,77.5,88.9,76.9,C,78.66666666666667,Good
3813,18,other,public,diploma,7.8,51.9,yes,30-60 min,no,mixed,94.5,90.9,91.4,80.8,C,92.26666666666667,Excellent
3814,16,female,public,high school,0.6,76.2,no,15-30 min,yes,coaching,31.8,35.8,40.5,30.9,F,36.03333333333333,Poor
3815,16,other,private,high school,7.8,86.8,yes,<15 min,no,group study,100.0,88.8,79.1,87.8,B,89.3,Excellent
3816,14,male,private,no formal,5.6,85.0,yes,>60 min,yes,notes,58.1,78.1,61.3,69.4,D,65.83333333333333,Good
3817,16,female,private,high school,7.3,77.5,yes,15-30 min,yes,group study,91.2,84.7,87.9,89.4,B,87.93333333333334,Excellent
3818,18,other,public,phd,4.5,89.2,yes,15-30 min,yes,group study,74.8,49.0,72.8,73.9,C,65.53333333333333,Good
3819,17,other,private,high school,4.0,80.4,yes,15-30 min,yes,online videos,53.7,75.4,64.1,70.6,C,64.4,Good
3820,19,female,private,phd,6.4,92.5,yes,15-30 min,yes,group study,92.2,81.3,90.5,84.9,C,88.0,Excellent
3821,14,female,public,no formal,4.6,55.8,yes,15-30 min,yes,coaching,73.7,67.1,69.0,62.3,D,69.93333333333334,Good
3822,14,female,public,graduate,7.2,99.1,yes,15-30 min,no,coaching,80.0,92.0,74.7,87.3,B,82.23333333333333,Excellent
3823,17,other,private,no formal,7.2,94.0,yes,<15 min,yes,notes,86.5,86.2,96.1,86.2,B,89.59999999999998,Excellent
3824,15,female,public,diploma,4.5,94.8,yes,30-60 min,yes,group study,72.5,82.0,81.3,80.5,C,78.60000000000001,Good
3825,17,male,public,phd,4.8,68.2,yes,30-60 min,yes,notes,72.5,64.6,64.7,59.3,D,67.26666666666667,Good
3826,19,male,public,post graduate,3.9,97.3,yes,>60 min,no,notes,57.9,71.4,86.7,75.0,C,72.0,Good
3827,16,female,public,graduate,5.7,57.1,yes,<15 min,yes,textbook,54.8,82.0,83.5,74.8,C,73.43333333333334,Good
3828,17,other,private,graduate,5.6,53.9,yes,<15 min,yes,textbook,83.6,98.4,82.1,75.8,C,88.03333333333335,Excellent
3829,18,female,private,graduate,5.4,69.9,yes,15-30 min,no,group study,70.2,67.1,75.3,65.1,D,70.86666666666667,Good
3830,14,other,private,post graduate,1.0,96.7,yes,>60 min,no,online videos,59.6,56.9,49.5,53.3,E,55.333333333333336,Average
3831,19,other,private,graduate,7.7,98.4,yes,30-60 min,no,mixed,98.4,100.0,100.0,95.7,A,99.46666666666665,Excellent
3832,15,female,public,graduate,3.0,74.7,yes,30-60 min,no,online videos,57.5,58.8,37.4,47.6,E,51.23333333333333,Average
3833,18,other,public,no formal,2.3,87.6,yes,30-60 min,no,coaching,56.4,54.7,51.6,55.9,D,54.23333333333333,Average
3834,17,female,public,phd,2.1,76.9,yes,>60 min,yes,coaching,36.9,23.1,22.5,40.5,E,27.5,Poor
3835,14,female,private,graduate,1.0,55.7,yes,15-30 min,yes,group study,53.3,24.4,47.5,33.8,F,41.73333333333333,Average
3836,18,other,public,high school,3.9,82.7,yes,<15 min,no,group study,74.1,72.1,68.2,69.9,D,71.46666666666665,Good
3837,15,female,private,no formal,0.8,57.3,yes,15-30 min,no,mixed,33.1,32.6,31.0,36.8,F,32.233333333333334,Poor
3838,17,female,public,graduate,1.7,82.8,yes,>60 min,no,mixed,37.9,31.1,40.7,39.1,F,36.56666666666667,Poor
3839,19,female,public,post graduate,0.5,62.0,no,30-60 min,no,group study,10.1,24.3,21.8,20.9,F,18.733333333333334,Poor
3840,19,other,public,post graduate,1.8,63.2,yes,>60 min,no,coaching,55.2,34.0,20.2,40.8,E,36.46666666666667,Poor
3841,19,male,public,phd,8.0,83.7,yes,30-60 min,yes,group study,89.9,100.0,100.0,100.0,A,96.63333333333333,Excellent
3842,16,male,public,phd,4.6,73.2,no,>60 min,no,coaching,71.1,63.5,85.0,70.9,C,73.2,Good
3843,17,female,private,graduate,1.0,91.5,no,30-60 min,yes,notes,41.3,37.4,40.0,37.3,F,39.56666666666666,Poor
3844,15,male,private,phd,4.7,84.0,yes,>60 min,yes,online videos,56.6,71.5,70.7,75.1,C,66.26666666666667,Good
3845,19,female,public,no formal,5.0,64.7,yes,30-60 min,yes,online videos,64.0,63.1,65.1,67.1,D,64.06666666666666,Good
